-0.038404,-0.033335,-0.023966,-0.0070967,0.020724,0.060764,0.11047,0.15449,0.18787,0.19174
-0.024008,-0.018001,-0.0076362,0.0098558,0.037162,0.075438,0.12146,0.16098,0.19054,0.19133
0.0032917,0.0097707,0.02041,0.037405,0.062758,0.097459,0.13741,0.17003,0.19414,0.19023
0.047997,0.053891,0.063321,0.077929,0.099181,0.12748,0.15772,0.18129,0.19816,0.18744
0.10649,0.11086,0.11781,0.12828,0.14306,0.1614,0.17962,0.19295,0.20088,0.18202
0.16355,0.16585,0.16937,0.17454,0.18157,0.19009,0.19844,0.20346,0.20017,0.1697
0.18956,0.19063,0.19217,0.19431,0.19712,0.19998,0.20145,0.19872,0.18463,0.12394
0.18817,0.18864,0.18951,0.19052,0.19056,0.1884,0.1828,0.16926,0.12619,0.014917
0.15043,0.14921,0.14706,0.14334,0.13705,0.12816,0.10789,0.061896,0.0011698,-0.00018229
0.0072262,0.0061825,0.0044153,0.0020224,0.00038969,-0.00018229,-0.00018229,-0.00018229,-0.00018229,-0.00018229
